numero,clave,nombre,latitud,longitud,altitud,estado,municipio,id_cuenca_de_disponibilidad,cuenca_de_disponibilidad,num_region_hidrologica,region_hidrologica,fn_id_cuenca_de_disponibilidad,fn_num_region_hidrologica,estado_etq
52,NVLAG,"El Novillo, Ags.",22.020556,-102.001944,2010,Aguascalientes,El Llano,196,RÃ­o EncarnaciÃ³n,12,Lerma Santiago,196.0,12.0,Aguascalientes
53,C01099,JesÃºs TerÃ¡n (El Muerto),21.975833,-102.061944,2044,Aguascalientes,El Llano,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
54,C01073,La Tinaja,21.809444,-102.129722,2027,Aguascalientes,El Llano,194,Presa Ajojucar,12,Lerma Santiago,194.0,12.0,Aguascalientes
55,TNJAG,"La Tinaja 2, Ags.",21.807778,-102.127778,2010,Aguascalientes,El Llano,194,Presa Ajojucar,12,Lerma Santiago,194.0,12.0,Aguascalientes
56,C01101,Las Presas,21.909167,-102.086944,2045,Aguascalientes,El Llano,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
57,C01033,Los Conos,21.897778,-101.9925,2026,Aguascalientes,El Llano,196,RÃ­o EncarnaciÃ³n,12,Lerma Santiago,196.0,12.0,Aguascalientes
58,CNSAG,"Los Conos, Ags.",21.897778,-101.992222,2015,Aguascalientes,El Llano,196,RÃ­o EncarnaciÃ³n,12,Lerma Santiago,196.0,12.0,Aguascalientes
59,C01015,Palo Alto,21.916389,-101.969444,2038,Aguascalientes,El Llano,196,RÃ­o EncarnaciÃ³n,12,Lerma Santiago,196.0,12.0,Aguascalientes
60,PALAG,"Palo Alto, Ags.",21.916667,-101.966667,2015,Aguascalientes,El Llano,196,RÃ­o EncarnaciÃ³n,12,Lerma Santiago,196.0,12.0,Aguascalientes
61,C01035,San Francisco de Los Viveros,21.911944,-102.13,2020,Aguascalientes,El Llano,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
62,C01034,Sandovales,21.885,-102.109167,2007,Aguascalientes,El Llano,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
63,SNVAG,"Sandovales, Ags.",21.885,-102.108889,1860,Aguascalientes,El Llano,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
64,C01104,Abelardo L. RodrÃ­guez,21.914444,-102.428611,1971,Aguascalientes,JesÃºs MarÃ­a,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
65,ABRAG,"Abelardo L. RodrÃ­guez, Ags.",21.916944,-102.427778,1974,Aguascalientes,JesÃºs MarÃ­a,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
66,C01007,JesÃºs MarÃ­a,21.962222,-102.344722,1880,Aguascalientes,JesÃºs MarÃ­a,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
67,C01090,JesÃºs MarÃ­a,21.962222,-102.350556,1881,Aguascalientes,JesÃºs MarÃ­a,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
68,C01098,La Posta U.A.A.,21.9725,-102.3625,1941,Aguascalientes,JesÃºs MarÃ­a,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
69,C01106,La Primavera,21.958611,-102.475833,2059,Aguascalientes,JesÃºs MarÃ­a,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
70,C01105,Los Cuartos,21.986389,-102.35,1901,Aguascalientes,JesÃºs MarÃ­a,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
71,C01095,Milpillas de Arriba,21.935,-102.550833,2164,Aguascalientes,JesÃºs MarÃ­a,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
72,C01080,Presa Canutillo,21.8375,-102.522222,1950,Aguascalientes,JesÃºs MarÃ­a,204,RÃ­o Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
73,C01027,Venadero,21.877222,-102.463333,2026,Aguascalientes,JesÃºs MarÃ­a,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
74,C01057,Venadero,21.8725,-102.466667,2000,Aguascalientes,JesÃºs MarÃ­a,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
75,VNDAG,"Venadero, Ags.",215.383333,-10.387222,1995,Aguascalientes,JesÃºs MarÃ­a,-,-,-,-,,,Aguascalientes
76,JC2AG,"km 1+400 Jocoque hidromÃ©trica, Ags.",22.121111,-102.354444,1970,Aguascalientes,PabellÃ³n de Arteaga,189,RÃ­o San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
77,C01014,PabellÃ³n Campo Experimental,22.166944,-102.292778,1934,Aguascalientes,PabellÃ³n de Arteaga,189,RÃ­o San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
78,C01041,PabellÃ³n de Arteaga,22.15,-102.283333,1900,Aguascalientes,PabellÃ³n de Arteaga,189,RÃ­o San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
79,C01102,PabellÃ³n de Arteaga,22.147222,-102.279167,1930,Aguascalientes,PabellÃ³n de Arteaga,189,RÃ­o San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
80,PBLAG,"PabellÃ³n, Ags.",22.147222,-102.279167,1909,Aguascalientes,PabellÃ³n de Arteaga,189,RÃ­o San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
81,PTRAG,"Derivadora PabellÃ³n, Ags.",22.235,-102.4375,2090,Aguascalientes,RincÃ³n de Romos,189,RÃ­o San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
82,C01019,Presa Jocoque,22.128056,-102.359444,2006,Aguascalientes,RincÃ³n de Romos,189,RÃ­o San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
83,C01082,RincÃ³n de Romos,22.231111,-102.315278,1965,Aguascalientes,RincÃ³n de Romos,189,RÃ­o San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
84,C01025,San Francisco de Los Romo,22.077222,-102.271111,1880,Aguascalientes,San Francisco de los Romo,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
85,C01083,San Francisco de Los Romo,22.078889,-102.273056,1909,Aguascalientes,San Francisco de los Romo,191,Presa El NiÃ¡gara,12,Lerma Santiago,191.0,12.0,Aguascalientes
86,C01103,Alamitos Campamento,22.1775,-102.586111,2603,Aguascalientes,San JosÃ© de Gracia,190,Presa Calles,12,Lerma Santiago,190.0,12.0,Aguascalientes
87,ALMAG,"Alamitos, Ags.",22.177222,-102.585833,2550,Aguascalientes,San JosÃ© de Gracia,190,Presa Calles,12,Lerma Santiago,190.0,12.0,Aguascalientes
88,PE2AG,"Calles hidromÃ©trica, Ags.",22.138611,-102.415,2020,Aguascalientes,San JosÃ© de Gracia,189,RÃ­o San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
89,ANVAG,"Cincuenta Aniversario, Ags.",22.188611,-102.464167,2050,Aguascalientes,San JosÃ© de Gracia,190,Presa Calles,12,Lerma Santiago,190.0,12.0,Aguascalientes
90,JCQAG,"Jocoque, Ags.",22.121667,-102.356944,1970,Aguascalientes,San JosÃ© de Gracia,189,RÃ­o San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
91,C01010,La Tinaja,22.164444,-102.554167,2526,Aguascalientes,San JosÃ© de Gracia,190,Presa Calles,12,Lerma Santiago,190.0,12.0,Aguascalientes
92,PECAG,"Plutarco ElÃ­as Calles, Ags.",22.141111,-102.417222,2020,Aguascalientes,San JosÃ© de Gracia,190,Presa Calles,12,Lerma Santiago,190.0,12.0,Aguascalientes
93,C01089,Presa 50 Aniversario,22.188611,-102.464167,2104,Aguascalientes,San JosÃ© de Gracia,190,Presa Calles,12,Lerma Santiago,190.0,12.0,Aguascalientes
94,C01018,Presa Plutarco ElÃ­as Calles,22.141389,-102.415278,2053,Aguascalientes,San JosÃ© de Gracia,190,Presa Calles,12,Lerma Santiago,190.0,12.0,Aguascalientes
95,C01017,Presa Potrerillos,22.232778,-102.443611,2172,Aguascalientes,San JosÃ© de Gracia,189,RÃ­o San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
96,C01021,Rancho Viejo,22.123333,-102.511111,2127,Aguascalientes,San JosÃ© de Gracia,190,Presa Calles,12,Lerma Santiago,190.0,12.0,Aguascalientes
97,C01108,Arroyo Hondo  (Cycna),22.1825,-102.207778,1999,Aguascalientes,TepezalÃ¡,189,RÃ­o San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
98,C01094,El Chayote,22.286111,-102.235833,1951,Aguascalientes,TepezalÃ¡,189,RÃ­o San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
99,C01013,Mesillas,22.313333,-102.165833,2021,Aguascalientes,TepezalÃ¡,189,RÃ­o San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
100,C01008,Puerto de La ConcepciÃ³n,22.202778,-102.135,2323,Aguascalientes,TepezalÃ¡,189,RÃ­o San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
101,PTOAG,"Puerto de la ConcepciÃ³n, Ags.",22.202778,-102.135,2322,Aguascalientes,TepezalÃ¡,189,RÃ­o San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
102,C01026,Tepezala,22.223611,-102.168889,2110,Aguascalientes,TepezalÃ¡,189,RÃ­o San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
103,C02001,Agua Caliente,32.1075,-116.454167,400,Baja California,Ensenada,3,Guadalupe,1,B.C.Noroeste,3.0,1.0,Baja California
104,C02151,Agua de Chale,30.638056,-114.75,5,Baja California,Ensenada,53,San FermÃ­n,4,B.C.Noreste,53.0,4.0,Baja California
105,C02002,BahÃ­a de Los Ãngeles,28.603889,-113.556111,4,Baja California,Ensenada,60,San Pedro,5,B.C. Centro Este,60.0,5.0,Baja California
106,BLMBN,"BelÃ©n, B.C.",32.195278,-116.485556,555,Baja California,Ensenada,3,Guadalupe,1,B.C.Noroeste,3.0,1.0,Baja California
107,C02005,Boquilla Santa Rosa de La MisiÃ³n,32.021667,-116.776944,250,Baja California,Ensenada,3,Guadalupe,1,B.C.Noroeste,3.0,1.0,Baja California
108,C02162,Camalajue,29.683333,-114.166667,20,Baja California,Ensenada,57,Calamajue,5,B.C. Centro Este,57.0,5.0,Baja California
109,C02006,Chapala,29.488056,-114.363889,660,Baja California,Ensenada,56,La Palma,5,B.C. Centro Este,56.0,5.0,Baja California
110,C02008,Colonia Guerrero,30.716667,-115.983333,30,Baja California,Ensenada,12,Santo Domingo,1,B.C.Noroeste,12.0,1.0,Baja California
111,C02071,Colonia Valle de La Trinidad,31.355833,-115.696389,740,Baja California,Ensenada,9,Los Cochis-El Salado,1,B.C.Noroeste,9.0,1.0,Baja California
112,C02010,Compostela,31.783333,-115.766667,625,Baja California,Ensenada,8,San Vicente,1,B.C.Noroeste,8.0,1.0,Baja California
113,C02089,Ejido Emilio Lopez Zamora,31.104167,-116.168333,180,Baja California,Ensenada,10,San Rafael,1,B.C.Noroeste,10.0,1.0,Baja California
114,C02090,Ejido ErÃ©ndira,31.274444,-116.392222,20,Baja California,Ensenada,-,-,-,-,,,Baja California
115,C02088,Ejido HÃ©roes de La Independencia,31.610278,-115.9375,1000,Baja California,Ensenada,8,San Vicente,1,B.C.Noroeste,8.0,1.0,Baja California
116,C02091,Ejido Ignacio  Lopez RayÃ³n,31.287778,-116.264444,170,Baja California,Ensenada,8,San Vicente,1,B.C.Noroeste,8.0,1.0,Baja California
117,C02160,Ejido JamaÃº,31.502778,-115.725,980,Baja California,Ensenada,9,Los Cochis-El Salado,1,B.C.Noroeste,9.0,1.0,Baja California
118,C02012,Ejido JosÃ© MarÃ­a Morelos,28.3,-114.025833,20,Baja California,Ensenada,27,ParaÃ­so,2,B.C. Centro Oeste,27.0,2.0,Baja California
119,C02100,Ejido Leandro Valle,31.266667,-115.766667,100,Baja California,Ensenada,9,Los Cochis-El Salado,1,B.C.Noroeste,9.0,1.0,Baja California
120,C02120,Ejido MÃ©xico,31.072222,-116.206111,75,Baja California,Ensenada,10,San Rafael,1,B.C.Noroeste,10.0,1.0,Baja California
121,C02111,Ejido Nuevo Baja California,30.517222,-115.931389,17,Baja California,Ensenada,13,San QuintÃ­n,1,B.C.Noroeste,13.0,1.0,Baja California
122,C02013,Ejido Plan Nacional Agrario,30.67,-115.131111,420,Baja California,Ensenada,52,Huatamote,4,B.C.Noreste,52.0,4.0,Baja California
123,C02131,Ejido RubÃ©n Jaramillo,30.923611,-116.1275,60,Baja California,Ensenada,11,San Telmo,1,B.C.Noroeste,11.0,1.0,Baja California
124,C02092,Ejido San MatÃ­as,31.331389,-115.543611,968,Baja California,Ensenada,50,Cerrada Santa Clara,4,B.C.Noreste,50.0,4.0,Baja California
125,C02153,Ejido Uruapan,31.618611,-116.455,195,Baja California,Ensenada,6,Maneadero-Las Ãnimas,1,B.C.Noroeste,6.0,1.0,Baja California
126,C02132,Ejido Zarahemila,30.690278,-116.006389,8,Baja California,Ensenada,12,Santo Domingo,1,B.C.Noroeste,12.0,1.0,Baja California
127,C02079,El Alamar,31.835556,-116.203889,710,Baja California,Ensenada,5,San Carlos,1,B.C.Noroeste,5.0,1.0,Baja California
128,C02014,El Alamo,31.593333,-116.054444,1115,Baja California,Ensenada,7,Santo TomÃ¡s,1,B.C.Noroeste,7.0,1.0,Baja California
129,C02015,El Arco,28.028611,-113.396389,288,Baja California,Ensenada,29,El Arco,2,B.C. Centro Oeste,29.0,2.0,Baja California
130,C02016,El Barril,28.3025,-112.878333,50,Baja California,Ensenada,62,El Infiernito,5,B.C. Centro Este,62.0,5.0,Baja California
131,C02104,El CiprÃ©s,31.790278,-116.588056,8,Baja California,Ensenada,5,San Carlos,1,B.C.Noroeste,5.0,1.0,Baja California
132,C02094,El Farito,31.983333,-116.666667,250,Baja California,Ensenada,4,Ensenada-El Gallo,1,B.C.Noroeste,4.0,1.0,Baja California
133,C02021,El Pinal,32.183333,-116.291667,1320,Baja California,Ensenada,3,Guadalupe,1,B.C.Noroeste,3.0,1.0,Baja California
134,C02084,El Progreso,29.9675,-115.190833,517,Baja California,Ensenada,17,Santa Catarina,2,B.C. Centro Oeste,17.0,2.0,Baja California
135,C02022,El Rosario,30.059444,-115.723333,40,Baja California,Ensenada,16,El Rosario,1,B.C.Noroeste,16.0,1.0,Baja California
136,C02023,El Socorro,30.320556,-115.820556,26,Baja California,Ensenada,15,El Socorro,1,B.C.Noroeste,15.0,1.0,Baja California
137,ELZBN,"Emilio LÃ³pez Zamora, B.C.",31.890278,-116.6025,70,Baja California,Ensenada,4,Ensenada-El Gallo,1,B.C.Noroeste,4.0,1.0,Baja California
138,C02025,Ensenada,31.857778,-116.605833,21,Baja California,Ensenada,4,Ensenada-El Gallo,1,B.C.Noroeste,4.0,1.0,Baja California
139,C02144,Ensenada Blanca,28.410556,-113.863889,10,Baja California,Ensenada,27,ParaÃ­so,2,B.C. Centro Oeste,27.0,2.0,Baja California
140,C02110,Guayaquil,29.967222,-115.096944,530,Baja California,Ensenada,17,Santa Catarina,2,B.C. Centro Oeste,17.0,2.0,Baja California
141,C02004,Ignacio Zaragoza -BelÃ©n-,32.195278,-116.485556,540,Baja California,Ensenada,3,Guadalupe,1,B.C.Noroeste,3.0,1.0,Baja California
142,C02027,Isla Cedros,28.135,-115.175,3,Baja California,Ensenada,-,-,-,-,,,Baja California
143,C02026,Isla Guadalupe,29.02,-118.278056,580,Baja California,Ensenada,-,-,-,-,,,Baja California
144,C02095,La Bocana de Santo TomÃ¡s,29.866667,-115.0,167,Baja California,Ensenada,17,Santa Catarina,2,B.C. Centro Oeste,17.0,2.0,Baja California
145,C02096,La Calentura,31.270278,-116.036944,210,Baja California,Ensenada,9,Los Cochis-El Salado,1,B.C.Noroeste,9.0,1.0,Baja California
146,C02077,La MisiÃ³n,32.101944,-116.811111,20,Baja California,Ensenada,3,Guadalupe,1,B.C.Noroeste,3.0,1.0,Baja California
147,LAMBN,"La MisiÃ³n, B.C.",32.101944,-116.811111,20,Baja California,Ensenada,3,Guadalupe,1,B.C.Noroeste,3.0,1.0,Baja California
148,C02029,La Providencia,30.968611,-116.156667,40,Baja California,Ensenada,11,San Telmo,1,B.C.Noroeste,11.0,1.0,Baja California
149,C02066,Laguna Hanson A. Sierra de JuÃ¡rez,32.003611,-115.948333,1580,Baja California,Ensenada,3,Guadalupe,1,B.C.Noroeste,3.0,1.0,Baja California
150,C02032,Las Escobas,30.579444,-115.937778,30,Baja California,Ensenada,13,San QuintÃ­n,1,B.C.Noroeste,13.0,1.0,Baja California
151,C02076,Las Palomas,28.218333,-113.084444,480,Baja California,Ensenada,30,VizcaÃ­no,2,B.C. Centro Oeste,30.0,2.0,Baja California
152,C02106,Maneadero,31.695556,-116.572778,50,Baja California,Ensenada,6,Maneadero-Las Ãnimas,1,B.C.Noroeste,6.0,1.0,Baja California
153,C02165,Mesa de San Jacinto,30.884444,-116.123611,53,Baja California,Ensenada,11,San Telmo,1,B.C.Noroeste,11.0,1.0,Baja California
154,C02041,Nuevo Rosarito,28.634444,-114.017222,20,Baja California,Ensenada,25,Rosarito,2,B.C. Centro Oeste,25.0,2.0,Baja California
155,ENSBN,"Observatorio de Ensenada, B.C.",31.49,-116.37,3,Baja California,Ensenada,7,Santo TomÃ¡s,1,B.C.Noroeste,7.0,1.0,Baja California
156,C02035,Ojos Negros,31.911667,-116.264722,680,Baja California,Ensenada,3,Guadalupe,1,B.C.Noroeste,3.0,1.0,Baja California
157,C02036,Olivares Mexicanos,32.049167,-116.680833,340,Baja California,Ensenada,3,Guadalupe,1,B.C.Noroeste,3.0,1.0,Baja California
158,C02149,Puertecitos,30.367222,-114.808333,20,Baja California,Ensenada,54,Agua Dulce,4,B.C.Noreste,54.0,4.0,Baja California
159,C02108,Punta Banda,31.713889,-116.666111,15,Baja California,Ensenada,6,Maneadero-Las Ãnimas,1,B.C.Noroeste,6.0,1.0,Baja California
160,C02150,Punta Final,29.7375,-114.31,3,Baja California,Ensenada,56,La Palma,5,B.C. Centro Este,56.0,5.0,Baja California
161,C02039,Punta Prieta,29.158333,-114.145833,325,Baja California,Ensenada,23,San AndrÃ©s,2,B.C. Centro Oeste,23.0,2.0,Baja California
162,C02040,Rancho Alegre,28.228611,-113.755278,120,Baja California,Ensenada,27,ParaÃ­so,2,B.C. Centro Oeste,27.0,2.0,Baja California
